DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7122515,9,1,1,1,4,4,1
7122516,9,1,2,1,4,4,2
7122517,9,1,1,1,6,4,1
7122519,9,1,1,1,1,4,3
7122521,9,1,1,1,6,4,2
7122522,9,1,1,1,6,4,2
7122523,9,1,1,1,4,4,2
7122524,9,1,1,1,6,4,2
7122529,9,1,1,1,6,4,1
7122530,9,1,4,5,5,4,1
7122531,9,1,1,1,6,4,1
7122532,9,1,1,1,6,4,2
7122534,9,1,1,1,6,4,3
7122537,9,1,1,1,4,4,1
7122538,9,1,4,5,6,4,1
7122540,9,1,1,1,6,4,1
7122542,9,1,1,1,4,4,2
7122544,9,1,1,1,2,4, 
7122545,9,1,1,1,4,4,2
7122546,9,1,1,1,4,4,1
7122547,9,1,1,5,5,4,1
